"Filename","Time","Frequency"
"P7132037_05",1028532,NA
"P7132037_05",1083537,NA
"P7132037_05",1090840,NA
"P7132037_05",1091400,NA
"P7132037_05",1091787,8447
"P7132037_05",1092122,11080
"P7132037_05",1092311,15267
"P7132037_05",1092603,16632
"P7132037_05",1092815,15873
"P7132037_05",1093093,16326
"P7132037_05",1093221,19704
"P7132037_05",1093373,28571
"P7132037_05",1093502,28469
"P7132037_05",1093651,28776
"P7132037_05",1093801,26755
"P7132037_05",1093906,31372
"P7132037_05",1094078,28880
"P7132037_05",1094299,20356
"P7132037_05",1094423,23188
"P7132037_05",1094704,19753
"P7132037_05",1094971,14598
"P7132037_05",1095180,16806
"P7132037_05",1095414,18058
"P7132037_05",1095600,19047
"P7132037_05",1095811,20151
"P7132037_05",1096024,18867
"P7132037_05",1096238,18735
"P7132037_05",1096430,19704
"P7132037_05",1096623,20779
"P7132037_05",1096815,20779
"P7132037_05",1097008,20779
"P7132037_05",1097183,21739
"P7132037_05",1097418,19512
"P7132037_05",1097592,19559
"P7132037_05",1097896,16736
"P7132037_05",1098197,13223
"P7132037_05",1098686,10126
"P7132037_05",1102470,NA
"P7132037_05",1103241,NA
"P7132037_05",1127061,NA
"P7132037_05",1144292,NA
"P7132037_05",1145090,NA
"P7132037_05",1165862,NA
"P7132037_05",1166231,NA
"P7132037_05",1166437,13913
"P7132037_05",1166751,15384
"P7132037_05",1166878,18140
"P7132037_05",1167069,25157
"P7132037_05",1167239,22160
"P7132037_05",1167430,22160
"P7132037_05",1167773,14981
"P7132037_05",1167991,14260
"P7132037_05",1168375,13289
"P7132037_05",1168705,11204
"P7132037_05",1169034,12139
"P7132037_05",1169317,13071
"P7132037_05",1169704,11940
"P7132037_05",1170372,7582
"P7132037_05",1171822,NA
"P7132037_05",1178678,NA
"P7132037_05",1182402,NA
"P7132037_05",1183977,NA
"P7132037_05",1195415,NA
"P7132037_05",1197463,NA
"P7132037_05",1223887,NA
"P7132037_05",1245950,NA
"P7132037_05",1246145,NA
"P7132037_05",1246385,18390
"P7132037_05",1246589,18018
"P7132037_05",1246753,21739
"P7132037_05",1246941,22727
"P7132037_05",1247083,24242
"P7132037_05",1247273,24096
"P7132037_05",1247442,22284
"P7132037_05",1247653,21052
"P7132037_05",1247760,25157
"P7132037_05",1247973,25000
"P7132037_05",1248122,22099
"P7132037_05",1248294,24922
"P7132037_05",1248440,25157
"P7132037_05",1248614,25000
"P7132037_05",1248762,24844
"P7132037_05",1248936,24844
"P7132037_05",1249132,21621
"P7132037_05",1249239,26402
"P7132037_05",1249458,24539
"P7132037_05",1249585,23121
"P7132037_05",1250081,12841
"P7132037_05",1258718,NA
"P7132037_05",1325313,NA
"P7132037_05",1333531,NA
"P7132037_05",1333973,NA
"P7132037_05",1334568,7714
"P7132037_05",1335066,7319
"P7132037_05",1335328,10526
"P7132037_05",1335771,11347
"P7132037_05",1336732,5698
"P7132037_05",1337330,5131
"P7132037_05",1337782,7619
"P7132037_05",1340324,NA
"P7132037_05",1348281,NA
"P7132037_05",1378339,NA
"P7132037_05",1389805,NA
"P7132037_05",1411937,NA
"P7132037_05",1414693,NA
"P7132037_05",1417146,NA
"P7132037_05",1425034,NA
"P7132037_05",1425187,NA
"P7132037_05",1425365,24169
"P7132037_05",1425506,25078
"P7132037_05",1425669,26315
"P7132037_05",1425749,32921
"P7132037_05",1426017,22988
"P7132037_05",1426162,19370
"P7132037_05",1426370,22662
"P7132037_05",1426581,19093
"P7132037_05",1426771,19950
"P7132037_05",1426940,22284
"P7132037_05",1427050,28673
"P7132037_05",1427154,37383
"P7132037_05",1427303,31620
"P7132037_05",1427434,28571
"P7132037_05",1427559,31250
"P7132037_05",1427686,31746
"P7132037_05",1427881,24844
"P7132037_05",1428012,24539
"P7132037_05",1428205,24691
"P7132037_05",1428334,24844
"P7132037_05",1428487,28368
"P7132037_05",1428663,24316
"P7132037_05",1428834,23054
"P7132037_05",1429114,17738
"P7132037_05",1429532,11461
"P7132037_05",1432669,NA
"P7132037_05",1523015,NA
"P7132037_05",1524971,NA
"P7132037_05",1535667,NA
"P7132037_05",1599361,NA
"P7132037_05",1620155,NA
"P7132037_05",1620299,NA
"P7132037_05",1620569,19323
"P7132037_05",1620777,16736
"P7132037_05",1621012,18058
"P7132037_05",1621139,22099
"P7132037_05",1621224,37735
"P7132037_05",1621309,47058
"P7132037_05",1621438,37383
"P7132037_05",1621608,26755
"P7132037_05",1621779,23460
"P7132037_05",1621887,28673
"P7132037_05",1622017,33613
"P7132037_05",1622145,31007
"P7132037_05",1622277,30769
"P7132037_05",1622387,33057
"P7132037_05",1622651,21390
"P7132037_05",1622735,22988
"P7132037_05",1622890,33472
"P7132037_05",1622976,33195
"P7132037_05",1623194,26315
"P7132037_05",1623280,26315
"P7132037_05",1623484,27586
"P7132037_05",1623570,27586
"P7132037_05",1623658,45977
"P7132037_05",1623882,25641
"P7132037_05",1623968,25806
"P7132037_05",1624077,41025
"P7132037_05",1624305,23738
"P7132037_05",1624501,18867
"P7132037_05",1624655,22857
"P7132037_05",1624739,33613
"P7132037_05",1624844,42328
"P7132037_05",1625213,16877
"P7132037_05",1625365,15355
"P7132037_05",1625516,26402
"P7132037_05",1625604,33472
"P7132037_05",1625712,40816
"P7132037_05",1625824,36363
"P7132037_05",1625976,30303
"P7132037_05",1626240,19230
"P7132037_05",1626572,13422
"P7132037_05",1626814,13937
"P7132037_05",1627011,18223
"P7132037_05",1627450,12578
"P7132037_05",1628098,7359
"P7132037_05",1709420,NA
"P7132037_05",1709616,NA
"P7132037_05",1709745,24615
"P7132037_05",1709859,32921
"P7132037_05",1709934,42328
"P7132037_05",1710009,53333
"P7132037_05",1710085,52980
"P7132037_05",1710163,51948
"P7132037_05",1710241,51282
"P7132037_05",1710320,50955
"P7132037_05",1710398,50955
"P7132037_05",1710479,50314
"P7132037_05",1710558,50000
"P7132037_05",1710638,50314
"P7132037_05",1710719,49689
"P7132037_05",1710801,49079
"P7132037_05",1710883,48780
"P7132037_05",1710965,48780
"P7132037_05",1711047,48780
"P7132037_05",1711131,48192
"P7132037_05",1711213,48192
"P7132037_05",1711297,48192
"P7132037_05",1711380,47904
"P7132037_05",1711465,47619
"P7132037_05",1711549,47337
"P7132037_05",1711633,47619
"P7132037_05",1711717,47619
"P7132037_05",1711802,47337
"P7132037_05",1711888,46783
"P7132037_05",1711972,47058
"P7132037_05",1712058,47058
"P7132037_05",1712144,46511
"P7132037_05",1712228,47058
"P7132037_05",1712315,46783
"P7132037_05",1712400,46511
"P7132037_05",1712486,46783
"P7132037_05",1712572,46511
"P7132037_05",1712660,45977
"P7132037_05",1712741,47337
"P7132037_05",1712830,47058
"P7132037_05",1712920,44692
"P7132037_05",1713001,46783
"P7132037_05",1713113,41450
"P7132037_05",1713195,41237
"P7132037_05",1713309,40816
"P7132037_05",1713391,40816
"P7132037_05",1713466,50955
"P7132037_05",1713547,51282
"P7132037_05",1713631,48484
"P7132037_05",1713747,40000
"P7132037_05",1713832,39800
"P7132037_05",1713917,47058
"P7132037_05",1714055,35874
"P7132037_05",1714140,35874
"P7132037_05",1714225,47058
"P7132037_05",1714311,46783
"P7132037_05",1714430,39024
"P7132037_05",1714515,39215
"P7132037_05",1714600,47058
"P7132037_05",1714686,46783
"P7132037_05",1714846,32520
"P7132037_05",1714983,26936
"P7132037_05",1715068,36036
"P7132037_05",1715155,46511
"P7132037_05",1715241,46242
"P7132037_05",1715327,46511
"P7132037_05",1715412,46783
"P7132037_05",1715497,47058
"P7132037_05",1715581,47337
"P7132037_05",1715668,46783
"P7132037_05",1715753,46511
"P7132037_05",1715841,46242
"P7132037_05",1715928,45714
"P7132037_05",1716015,45977
"P7132037_05",1716103,45714
"P7132037_05",1716191,45454
"P7132037_05",1716277,45977
"P7132037_05",1716364,46242
"P7132037_05",1716451,45977
"P7132037_05",1716538,45977
"P7132037_05",1716625,45977
"P7132037_05",1716712,45977
"P7132037_05",1716801,45454
"P7132037_05",1716887,45714
"P7132037_05",1716974,46242
"P7132037_05",1717062,45714
"P7132037_05",1717150,45454
"P7132037_05",1717237,45714
"P7132037_05",1717326,45454
"P7132037_05",1717413,45454
"P7132037_05",1717502,45454
"P7132037_05",1717591,44943
"P7132037_05",1717680,44943
"P7132037_05",1717766,45714
"P7132037_05",1717854,45977
"P7132037_05",1717942,45454
"P7132037_05",1718031,45197
"P7132037_05",1718120,44943
"P7132037_05",1718208,45197
"P7132037_05",1718297,45197
"P7132037_05",1718385,45197
"P7132037_05",1718477,44444
"P7132037_05",1718611,35398
"P7132037_05",1718698,36199
"P7132037_05",1718830,36529
"P7132037_05",1719192,16194
"P7132037_05",1720466,4889
"P7132037_05",1720796,4987
"P7132037_05",1721523,7568
"P7132037_05",1722492,4716
"P7132037_05",1725676,NA
